Device1_vref_Time,Device1_vref_Signal_Diff,Device1_vac_Signal_Diff,Device2_vref_Time,Device2_vref_Signal_Diff,Device2_vac_Signal_Diff,Device3_vref_Time,Device3_vref_Signal_Diff,Device3_vac_Signal_Diff,Device4_vref_Time,Device4_vref_Signal_Diff,Device4_vac_Signal_Diff,Device5_vref_Time,Device5_vref_Signal_Diff,Device5_vac_Signal_Diff,Device6_vref_Time,Device6_vref_Signal_Diff,Device6_vac_Signal_Diff,Device7_vref_Time,Device7_vref_Signal_Diff,Device7_vac_Signal_Diff,Device8_vref_Time,Device8_vref_Signal_Diff,Device8_vac_Signal_Diff,Device9_vref_Time,Device9_vref_Signal_Diff,Device9_vac_Signal_Diff,Device10_vref_Time,Device10_vref_Signal_Diff,Device10_vac_Signal_Diff,Device11_vref_Time,Device11_vref_Signal_Diff,Device11_vac_Signal_Diff,Device12_vref_Time,Device12_vref_Signal_Diff,Device12_vac_Signal_Diff,Device13_vref_Time,Device13_vref_Signal_Diff,Device13_vac_Signal_Diff,Device14_vref_Time,Device14_vref_Signal_Diff,Device14_vac_Signal_Diff,Device15_vref_Time,Device15_vref_Signal_Diff,Device15_vac_Signal_Diff,Device16_vref_Time,Device16_vref_Signal_Diff,Device16_vac_Signal_Diff,Device17_vref_Time,Device17_vref_Signal_Diff,Device17_vac_Signal_Diff,Device18_vref_Time,Device18_vref_Signal_Diff,Device18_vac_Signal_Diff,Device19_vref_Time,Device19_vref_Signal_Diff,Device19_vac_Signal_Diff,Device20_vref_Time,Device20_vref_Signal_Diff,Device20_vac_Signal_Diff,Device21_vref_Time,Device21_vref_Signal_Diff,Device21_vac_Signal_Diff,Device22_vref_Time,Device22_vref_Signal_Diff,Device22_vac_Signal_Diff,Device23_vref_Time,Device23_vref_Signal_Diff,Device23_vac_Signal_Diff,Device24_vref_Time,Device24_vref_Signal_Diff,Device24_vac_Signal_Diff
1.0,0.11442600372248318,0.1490634002493184,1.0,0.6286119377754469,0.14427821756884854,1.0,0.9389119633796292,0.1048738183609456,3.0,0.12970546711013045,0.38915889877511656,1.0,0.6774485677991756,0.4557415245201235,2.0,0.3866510577092151,0.5416942203729467,36.0,0.30454842794784204,0.16352136864414812,0.0,0.4570575791649905,0.18763000433159038,2.0,0.2284557578343463,0.632759044039642,0.0,0.6921461782388045,0.8448021828953564,0,0.0,0.0,3.0,0.18984261669640107,0.269406612288204,2.0,0.4327537403055952,0.7552719172878013,0.0,0.4752801070125587,0.06563681730991922,0.0,0.15550286707272254,0.3991297424513218,1.0,0.49440238595545494,0.19342434330866515,1.0,1.5538375722623474,0.7974545449273132,22.0,0.14059748832129218,0.21347412894172924,7.0,0.23941752433603383,0.1941054857404253,2.0,0.6456405448229401,0.015377353710006383,5.0,0.0,0.0,4.0,0.0,0.0,4.0,0.28566707310906475,0.22722569358174194,0.0,0.23096028556250825,1.4573462554487246
15.0,0.04806889100822476,0.06538096328797495,18.0,0.21405237280977274,0.1921757841002935,10.0,0.26766804080240225,0.07330756236560837,8.0,0.15534544315914778,0.16847824736744377,11.0,0.23656310928074653,0.09932685874889963,11.0,0.08136296271098087,0.2471595420005206,,,,12.0,0.1314360704987088,0.22882331554857938,9.0,0.13987414764285366,0.22353609767422344,13.0,0.011922964685068371,0.003763224438739665,1,0.2197889329084346,0.08979722087913103,12.0,0.13678709499311936,0.07733013117759485,9.0,0.012173178945780738,0.0028582380810389107,9.0,0.18477141410870745,0.2064913073551966,6.0,0.29847931218419405,0.1455281148007933,10.0,0.11263553387992153,0.07082505582296147,12.0,0.0,0.0,54.0,0.11652454637723804,0.07785727133881126,20.0,0.2565872319094568,0.06183311733301073,32.0,0.15688662351566374,0.08775095535045763,6.0,0.011781879131728984,0.004234737356454327,5.0,0.0,0.0,27.0,0.09665801795831125,0.03332807749339095,10.0,0.03842490569001775,0.07928458729727805
30.0,0.16484518659799619,0.10101178479846204,38.0,0.2610781847239496,0.1547732000428899,24.0,0.12720500145016744,0.08040859573613175,38.0,0.22612629099983608,0.06188639651159411,35.0,0.1721786075424785,0.0682955214127306,25.0,0.0,0.0,,,,40.0,0.16104018896097744,0.19574636942926424,22.0,0.12242921296339801,0.049999705113834114,15.0,0.05265714691104073,0.12035505319744699,3,0.6358896964166199,0.29714662227617294,25.0,0.21141667242997927,0.1770629060396473,11.0,0.01958756012713081,0.031009980206698762,34.0,0.12565630731529426,0.15104000727461506,23.0,0.20762223800049984,0.10310962040329325,18.0,0.11664004016367857,0.1395459387939554,13.0,0.20078874835265248,0.08889161020599212,63.0,0.18916182993694405,0.49876121143957053,34.0,0.11572748993502614,0.08031121303718204,62.0,0.0,0.0,8.0,0.1733754458505212,0.1612016597539303,6.0,0.012856685495050063,0.04862144656571943,41.0,0.008311228115713165,0.03212663516949543,15.0,0.13922501882132457,0.060443094226675154
45.0,0.23853580818675627,0.1026160108139485,,,,57.0,0.006220845069672354,9.910919939565277e-05,55.0,0.04736398089465277,0.04271382539785373,55.0,0.0,0.0,26.0,0.13359138641350082,0.1454575628866293,,,,56.0,0.13167548017701097,0.17772361577948706,52.0,0.0,0.0,27.0,0.21147022930883413,0.24463205326958093,11,0.19552446155532,0.10362492878574442,43.0,0.06475453314362722,0.06249989696006486,13.0,0.26811865012880787,0.30374320307035096,60.0,0.004809586663773957,0.006248167573328134,43.0,0.09758066532332295,0.17218070667430568,43.0,0.07451248789075604,0.149575230923785,21.0,0.0,0.0,,,,60.0,0.020553533599386817,0.14482132324356167,63.0,0.11530477575042397,0.011954661956419746,54.0,0.07343972587169734,0.036425291648374464,8.0,0.10925774671152055,0.17344170593179975,44.0,0.0042753187397629455,0.01407195396146066,46.0,0.10377320934861975,0.17041190395800032
62.0,0.1451426625387779,0.0518201816868015,,,,59.0,0.0023420613909854726,0.0010732272355192599,59.0,0.2038724062880064,0.2892006518661596,56.0,0.0026666163001370924,0.01781770968814439,48.0,0.16957293682237756,0.06969590924993518,,,,67.0,0.023132852051722108,0.07637380993399005,53.0,0.00509446548975917,0.016910671115021203,59.0,0.6538073940659292,0.1798251247690984,20,0.0,0.0,50.0,0.06892632464218784,0.006142800191962339,27.0,0.3231076146983829,0.14989514508253476,62.0,0.0,0.0,59.0,0.22434077713953984,0.684828919380713,58.0,0.12026742933095302,0.1223175112855009,22.0,0.06140329663783217,0.020112690200678962,,,,68.0,0.002065630703989167,0.06990259265971183,67.0,0.0,0.0,66.0,0.028536322900795885,0.02462769535660292,30.0,0.3188971346547377,0.18956847690010492,46.0,0.0,0.0,58.0,0.05039333416265976,0.046957652463537336
,,,,,,61.0,0.04072739603969899,0.014077999002389083,,,,58.0,0.0014047967637365044,0.017247590849726546,60.0,0.3663959903720206,0.4928758962835755,,,,,,,55.0,0.009413931557656408,0.021199381324376154,,,,21,0.002548242134252199,0.018638409370417663,60.0,0.0,0.0,46.0,0.08976238192293207,0.06554903687909375,,,,,,,,,,30.0,0.35707004586635605,0.20210630298250643,,,,70.0,0.0,0.0,,,,,,,,,,47.0,0.047720900860498044,0.07475209411000017,,,
,,,,,,65.0,0.03585218058350348,0.010739877564574452,,,,60.0,0.005293040385395575,0.009922839891274682,,,,,,,,,,57.0,0.20125159252283192,0.35892724978536206,,,,23,0.09710735784045088,0.09229679144178732,61.0,0.00030558219076948223,0.001972319585088367,52.0,0.04908753106401842,0.011446160923258342,,,,,,,,,,61.0,0.691616143557459,0.35595113894733765,,,,,,,,,,,,,,,,59.0,0.005450488238171569,0.004664773996966853,,,
,,,,,,67.0,0.0,0.0,,,,,,,,,,,,,,,,68.0,0.0,0.0,,,,46,0.18352442910427214,0.04254136262199315,,,,57.0,0.027803211970466868,0.010068620566480946,,,,,,,,,,69.0,0.0,0.0,,,,,,,,,,,,,,,,61.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,69.0,0.09388413176910804,0.1354403684763501,,,,59,0.02677202506907206,0.004212793938239645,,,,59.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,0.14610040002217453,0.025884474358330856,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0.0,0.0,,,,60.0,0.9612983381869239,0.09988730767385723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
